date,Weekday,vacances,est_jour_ferie,nom_jour_ferie,nom_vacances
2019-03-07,Jeudi,FALSE,FALSE,,
2019-03-08,Vendredi,FALSE,FALSE,,
2019-03-09,Samedi,FALSE,FALSE,,
2019-03-10,Dimanche,FALSE,FALSE,,
2019-03-11,Lundi,FALSE,FALSE,,
2019-03-12,Mardi,FALSE,FALSE,,
2019-03-13,Mercredi,FALSE,FALSE,,
2019-03-14,Jeudi,FALSE,FALSE,,
2019-03-15,Vendredi,FALSE,FALSE,,
2019-03-16,Samedi,FALSE,FALSE,,
2019-03-17,Dimanche,FALSE,FALSE,,
2019-03-18,Lundi,FALSE,FALSE,,
2019-03-19,Mardi,FALSE,FALSE,,
2019-03-20,Mercredi,FALSE,FALSE,,
2019-03-21,Jeudi,FALSE,FALSE,,
2019-03-22,Vendredi,FALSE,FALSE,,
2019-03-23,Samedi,FALSE,FALSE,,
2019-03-24,Dimanche,FALSE,FALSE,,
2019-03-25,Lundi,FALSE,FALSE,,
2019-03-26,Mardi,FALSE,FALSE,,
2019-03-27,Mercredi,FALSE,FALSE,,
2019-03-28,Jeudi,FALSE,FALSE,,
2019-03-29,Vendredi,FALSE,FALSE,,
2019-03-30,Samedi,FALSE,FALSE,,
2019-03-31,Dimanche,FALSE,FALSE,,
2019-04-01,Lundi,FALSE,FALSE,,
2019-04-02,Mardi,FALSE,FALSE,,
2019-04-03,Mercredi,FALSE,FALSE,,
2019-04-04,Jeudi,FALSE,FALSE,,
2019-04-05,Vendredi,FALSE,FALSE,,
2019-04-06,Samedi,FALSE,FALSE,,
2019-04-07,Dimanche,True,FALSE,,Vacances de printemps
2019-04-08,Lundi,True,FALSE,,Vacances de printemps
2019-04-09,Mardi,True,FALSE,,Vacances de printemps
2019-04-10,Mercredi,True,FALSE,,Vacances de printemps
2019-04-11,Jeudi,True,FALSE,,Vacances de printemps
2019-04-12,Vendredi,True,FALSE,,Vacances de printemps
2019-04-13,Samedi,True,FALSE,,Vacances de printemps
2019-04-14,Dimanche,True,FALSE,,Vacances de printemps
2019-04-15,Lundi,True,FALSE,,Vacances de printemps
2019-04-16,Mardi,True,FALSE,,Vacances de printemps
2019-04-17,Mercredi,True,FALSE,,Vacances de printemps
2019-04-18,Jeudi,True,FALSE,,Vacances de printemps
2019-04-19,Vendredi,True,TRUE,Peques,Vacances de printemps
2019-04-20,Samedi,True,FALSE,,Vacances de printemps
2019-04-21,Dimanche,True,TRUE,Lundi de Peques,Vacances de printemps
2019-04-22,Lundi,True,TRUE,Feªte du travail,Vacances de printemps
2019-04-23,Mardi,FALSE,FALSE,,
2019-04-24,Mercredi,FALSE,FALSE,,
2019-04-25,Jeudi,FALSE,FALSE,,
2019-04-26,Vendredi,FALSE,FALSE,,
2019-04-27,Samedi,FALSE,FALSE,,
2019-04-28,Dimanche,FALSE,FALSE,,
2019-04-29,Lundi,FALSE,FALSE,,
2019-04-30,Mardi,FALSE,FALSE,,
2019-05-01,Mercredi,FALSE,TRUE,Victoire 1945,
2019-05-02,Jeudi,FALSE,FALSE,,
2019-05-03,Vendredi,FALSE,FALSE,,
2019-05-04,Samedi,FALSE,FALSE,,
2019-05-05,Dimanche,FALSE,FALSE,,
2019-05-06,Lundi,FALSE,FALSE,,
2019-05-07,Mardi,FALSE,FALSE,,
2019-05-08,Mercredi,FALSE,FALSE,,
2019-05-09,Jeudi,FALSE,FALSE,,
2019-05-10,Vendredi,FALSE,FALSE,,
2019-05-11,Samedi,FALSE,FALSE,,
2019-05-12,Dimanche,FALSE,FALSE,,
2019-05-13,Lundi,FALSE,FALSE,,
2019-05-14,Mardi,FALSE,FALSE,,
2019-05-15,Mercredi,FALSE,FALSE,,
2019-05-16,Jeudi,FALSE,FALSE,,
2019-05-17,Vendredi,FALSE,FALSE,,
2019-05-18,Samedi,FALSE,FALSE,,
2019-05-19,Dimanche,FALSE,FALSE,,
2019-05-20,Lundi,FALSE,FALSE,,
2019-05-21,Mardi,FALSE,FALSE,,
2019-05-22,Mercredi,FALSE,FALSE,,
2019-05-23,Jeudi,FALSE,FALSE,,
2019-05-24,Vendredi,FALSE,FALSE,,
2019-05-25,Samedi,FALSE,FALSE,,
2019-05-26,Dimanche,FALSE,TRUE,Ascension,
2019-05-27,Lundi,FALSE,FALSE,,
2019-05-28,Mardi,FALSE,FALSE,,
2019-05-29,Mercredi,FALSE,FALSE,,
2019-05-30,Jeudi,FALSE,TRUE,Pentecete,
2019-05-31,Vendredi,FALSE,FALSE,,
2019-06-01,Samedi,FALSE,FALSE,,
2019-06-02,Dimanche,FALSE,FALSE,,
2019-06-03,Lundi,FALSE,FALSE,,
2019-06-04,Mardi,FALSE,FALSE,,
2019-06-05,Mercredi,FALSE,FALSE,,
2019-06-06,Jeudi,FALSE,FALSE,,
2019-06-07,Vendredi,FALSE,FALSE,,
2019-06-08,Samedi,FALSE,FALSE,,
2019-06-09,Dimanche,FALSE,TRUE,Lundi de Pentecete,
2019-06-10,Lundi,FALSE,FALSE,,
2019-06-11,Mardi,FALSE,FALSE,,
2019-06-12,Mercredi,FALSE,FALSE,,
2019-06-13,Jeudi,FALSE,FALSE,,
2019-06-14,Vendredi,FALSE,FALSE,,
2019-06-15,Samedi,FALSE,FALSE,,
2019-06-16,Dimanche,FALSE,TRUE,Feªte Nationale de la France,
2019-06-17,Lundi,FALSE,FALSE,,
2019-06-18,Mardi,FALSE,FALSE,,
2019-06-19,Mercredi,FALSE,FALSE,,
2019-06-20,Jeudi,FALSE,FALSE,,
2019-06-21,Vendredi,FALSE,FALSE,,
2019-06-22,Samedi,FALSE,FALSE,,
