Extraction Day;Calendar day;Flight Number;Sched Airport Arriva;Sched Airport Depart;Pax total;Coupons+YQ on current bookings;Current revenue;Group pax;Cabin Capacity
19/01/2018;26/08/2018;LG-9414;SCN;TXL;3 PAX;192,00 EUR;261,0;0 PAX;67 PAX
19/01/2018;26/08/2018;LG-9415;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
19/01/2018;26/08/2018;LG-9416;SCN;TXL;2 PAX;128,00 EUR;174,0;0 PAX;67 PAX
19/01/2018;27/08/2018;LG-9411;TXL;SCN;3 PAX;123,00 EUR;174,0;0 PAX;67 PAX
19/01/2018;27/08/2018;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
19/01/2018;27/08/2018;LG-9413;TXL;SCN;1 PAX;33,00 EUR;45,0;0 PAX;67 PAX
19/01/2018;27/08/2018;LG-9414;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
19/01/2018;27/08/2018;LG-9415;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
19/01/2018;27/08/2018;LG-9416;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
19/01/2018;28/08/2018;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
19/01/2018;28/08/2018;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
19/01/2018;28/08/2018;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
19/01/2018;28/08/2018;LG-9414;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
19/01/2018;28/08/2018;LG-9415;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
19/01/2018;28/08/2018;LG-9416;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
19/01/2018;29/08/2018;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
19/01/2018;29/08/2018;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
19/01/2018;29/08/2018;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
19/01/2018;29/08/2018;LG-9414;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
19/01/2018;29/08/2018;LG-9415;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
19/01/2018;29/08/2018;LG-9416;SCN;TXL;24 PAX;984,00 EUR;1 344,0;24 PAX;67 PAX
19/01/2018;30/08/2018;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
19/01/2018;30/08/2018;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
19/01/2018;30/08/2018;LG-9413;TXL;SCN;1 PAX;41,00 EUR;58,0;0 PAX;67 PAX
19/01/2018;30/08/2018;LG-9414;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
19/01/2018;30/08/2018;LG-9415;TXL;SCN;7 PAX;355,00 EUR;475,0;0 PAX;67 PAX
19/01/2018;30/08/2018;LG-9416;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
19/01/2018;31/08/2018;LG-9411;TXL;SCN;11 PAX;475,00 EUR;668,0;0 PAX;67 PAX
19/01/2018;31/08/2018;LG-9412;SCN;TXL;1 PAX;10,00 EUR;51,0;0 PAX;67 PAX
19/01/2018;31/08/2018;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
