FltNum,DepDate,DepTime
9413,6/2/2018,18:30:00
9413,7/2/2018,18:30:00
9413,9/2/2018,18:30:00
9413,11/2/2018,18:30:00
9413,12/2/2018,18:30:00
9413,13/2/2018,18:30:00
9413,14/2/2018,18:30:00
9413,15/2/2018,18:30:00
9413,16/2/2018,18:30:00
9413,18/2/2018,18:30:00
9413,19/2/2018,18:30:00
9413,20/2/2018,18:30:00
9413,21/2/2018,18:30:00
9413,22/2/2018,18:30:00
9413,23/2/2018,18:30:00
9413,25/2/2018,18:30:00
9413,26/2/2018,18:30:00
9413,27/2/2018,18:30:00
9413,28/2/2018,18:30:00
9413,1/3/2018,18:30:00
9413,4/3/2018,18:30:00
9413,5/3/2018,18:30:00
9413,6/3/2018,18:30:00
9413,7/3/2018,18:30:00
9413,8/3/2018,18:30:00
9413,9/3/2018,18:30:00
9413,11/3/2018,18:30:00
9413,12/3/2018,18:30:00
9413,13/3/2018,18:30:00
9413,14/3/2018,18:30:00
9413,15/3/2018,18:30:00
9413,16/3/2018,18:30:00
9413,18/3/2018,18:30:00
9413,19/3/2018,18:30:00
9413,20/3/2018,18:30:00
9413,21/3/2018,18:30:00
9413,22/3/2018,18:30:00
9413,23/3/2018,18:30:00
9413,28/10/2018,18:30:00
9413,29/10/2018,18:30:00
9413,30/10/2018,18:30:00
9413,31/10/2018,18:30:00
9413,1/11/2018,18:30:00
9413,4/11/2018,18:30:00
9413,5/11/2018,18:30:00
9413,6/11/2018,18:30:00
9413,7/11/2018,18:30:00
9413,8/11/2018,18:30:00
9413,9/11/2018,18:30:00
9413,11/11/2018,18:30:00
9413,12/11/2018,18:30:00
9413,14/11/2018,18:30:00
9413,16/11/2018,18:30:00
9413,18/11/2018,18:30:00
9413,19/11/2018,18:30:00
9413,20/11/2018,18:30:00
9413,21/11/2018,18:30:00
9413,22/11/2018,18:30:00
9413,23/11/2018,18:30:00
9413,25/11/2018,18:30:00
9413,26/11/2018,18:30:00
9413,27/11/2018,18:30:00
9413,28/11/2018,18:30:00
9413,30/11/2018,18:30:00
9413,2/12/2018,18:30:00
9413,3/12/2018,18:30:00
9413,4/12/2018,18:30:00
9413,5/12/2018,18:30:00
9413,6/12/2018,18:30:00
9413,7/12/2018,18:30:00
9413,9/12/2018,18:30:00
9413,10/12/2018,18:30:00
9413,11/12/2018,18:30:00
9413,12/12/2018,18:30:00
9413,13/12/2018,18:30:00
9413,14/12/2018,18:30:00
9413,16/12/2018,18:30:00
9413,17/12/2018,18:30:00
9413,18/12/2018,18:30:00
9413,19/12/2018,18:30:00
9413,20/12/2018,18:30:00
9413,21/12/2018,18:30:00
9413,23/12/2018,18:30:00
9413,25/12/2018,18:30:00
9413,26/12/2018,18:30:00
9413,27/12/2018,18:30:00
9413,28/12/2018,18:30:00
9413,30/12/2018,18:30:00
9413,1/1/2019,18:30:00
9413,2/1/2019,18:30:00
9413,3/1/2019,18:30:00
9413,4/1/2019,18:30:00
9413,6/1/2019,18:30:00
9413,7/1/2019,18:30:00
9413,8/1/2019,18:30:00
9413,9/1/2019,18:30:00
9413,10/1/2019,18:30:00
9413,11/1/2019,18:30:00
9413,13/1/2019,18:30:00
9413,14/1/2019,18:30:00
9413,15/1/2019,18:30:00
9413,16/1/2019,18:30:00
9413,17/1/2019,18:30:00
9413,18/1/2019,18:30:00
9413,20/1/2019,18:30:00
9413,21/1/2019,18:30:00
9413,22/1/2019,18:30:00
9413,23/1/2019,18:30:00
9413,24/1/2019,18:30:00
9413,25/1/2019,18:30:00
9413,27/1/2019,18:30:00
9413,28/1/2019,18:30:00
9413,29/1/2019,18:30:00
9413,30/1/2019,18:30:00
9413,31/1/2019,18:30:00
9413,25/3/2018,18:50:00
9413,26/3/2018,18:50:00
9413,27/3/2018,18:50:00
9413,28/3/2018,18:50:00
9413,29/3/2018,18:50:00
9413,30/3/2018,18:50:00
9413,2/4/2018,18:50:00
9413,3/4/2018,18:50:00
9413,4/4/2018,18:50:00
9413,5/4/2018,18:50:00
9413,6/4/2018,18:50:00
9413,8/4/2018,18:50:00
9413,9/4/2018,18:50:00
9413,10/4/2018,18:50:00
9413,11/4/2018,18:50:00
9413,12/4/2018,18:50:00
9413,13/4/2018,18:50:00
9413,15/4/2018,18:50:00
9413,16/4/2018,18:50:00
9413,17/4/2018,18:50:00
9413,18/4/2018,18:50:00
9413,19/4/2018,18:50:00
9413,20/4/2018,18:50:00
9413,22/4/2018,18:50:00
9413,23/4/2018,18:50:00
9413,24/4/2018,18:50:00
9413,25/4/2018,18:50:00
9413,26/4/2018,18:50:00
9413,27/4/2018,18:50:00
9413,29/4/2018,18:50:00
9413,30/4/2018,18:50:00
9413,1/5/2018,18:50:00
9413,2/5/2018,18:50:00
9413,3/5/2018,18:50:00
9413,4/5/2018,18:50:00
9413,6/5/2018,18:50:00
9413,7/5/2018,18:50:00
9413,8/5/2018,18:50:00
9413,9/5/2018,18:50:00
9413,10/5/2018,18:50:00
9413,11/5/2018,18:50:00
9413,13/5/2018,18:50:00
9413,14/5/2018,18:50:00
9413,15/5/2018,18:50:00
9413,16/5/2018,18:50:00
9413,17/5/2018,18:50:00
9413,18/5/2018,18:50:00
9413,20/5/2018,18:50:00
9413,21/5/2018,18:50:00
9413,22/5/2018,18:50:00
9413,23/5/2018,18:50:00
9413,24/5/2018,18:50:00
9413,25/5/2018,18:50:00
