Route,FltNum,BidPrice,IssueDate,DepDate,yday,dday,dtime,month,Dprio
LUX-BRI,6407,0,2019-05-28,2019-09-22,265,Sunday,12:05,9,117.0
LUX-BRI,6407,143,2019-05-27,2019-09-22,265,Sunday,14:55,9,118.0
LUX-BRI,6407,171,2019-05-28,2019-09-22,265,Sunday,14:55,9,117.0
LUX-BRI,6407,0,2019-05-27,2019-09-24,267,Tuesday,11:45,9,120.0
LUX-BRI,6407,0,2019-05-28,2019-09-24,267,Tuesday,11:45,9,119.0
LUX-BRI,6407,0,2019-05-27,2019-09-24,267,Tuesday,14:35,9,120.0
LUX-BRI,6407,0,2019-05-28,2019-09-24,267,Tuesday,14:35,9,119.0
LUX-BRI,6407,0,2019-05-27,2019-09-27,270,Friday,11:45,9,123.0
LUX-BRI,6407,0,2019-05-28,2019-09-27,270,Friday,11:45,9,122.0
LUX-BRI,6407,169,2019-05-27,2019-09-27,270,Friday,14:35,9,123.0
LUX-BRI,6407,166,2019-05-28,2019-09-27,270,Friday,14:35,9,122.0
LUX-BRI,6407,205,2019-05-27,2019-09-29,272,Sunday,12:05,9,125.0
LUX-BRI,6407,186,2019-05-28,2019-09-29,272,Sunday,12:05,9,124.0
LUX-BRI,6407,260,2019-05-27,2019-09-29,272,Sunday,14:55,9,125.0
LUX-BRI,6407,260,2019-05-28,2019-09-29,272,Sunday,14:55,9,124.0
LUX-BRI,6407,0,2019-05-27,2019-10-01,274,Tuesday,11:45,10,127.0
LUX-BRI,6407,0,2019-05-28,2019-10-01,274,Tuesday,11:45,10,126.0
LUX-BRI,6407,0,2019-05-27,2019-10-01,274,Tuesday,14:35,10,127.0
LUX-BRI,6407,0,2019-05-28,2019-10-01,274,Tuesday,14:35,10,126.0
LUX-BRI,6407,10,2019-05-27,2019-10-04,277,Friday,11:45,10,130.0
LUX-BRI,6407,11,2019-05-28,2019-10-04,277,Friday,11:45,10,129.0
LUX-BRI,6407,123,2019-05-27,2019-10-04,277,Friday,14:35,10,130.0
LUX-BRI,6407,120,2019-05-28,2019-10-04,277,Friday,14:35,10,129.0
LUX-BRI,6407,220,2019-05-27,2019-10-06,279,Sunday,12:05,10,132.0
LUX-BRI,6407,217,2019-05-28,2019-10-06,279,Sunday,12:05,10,131.0
LUX-BRI,6407,187,2019-05-27,2019-10-06,279,Sunday,14:55,10,132.0
LUX-BRI,6407,177,2019-05-28,2019-10-06,279,Sunday,14:55,10,131.0
LUX-BRI,6407,0,2019-05-27,2019-10-08,281,Tuesday,11:45,10,134.0
LUX-BRI,6407,0,2019-05-28,2019-10-08,281,Tuesday,11:45,10,133.0
LUX-BRI,6407,0,2019-05-27,2019-10-08,281,Tuesday,14:35,10,134.0
LUX-BRI,6407,0,2019-05-28,2019-10-08,281,Tuesday,14:35,10,133.0
LUX-BRI,6407,0,2019-05-27,2019-10-11,284,Friday,11:45,10,137.0
LUX-BRI,6407,0,2019-05-28,2019-10-11,284,Friday,11:45,10,136.0
LUX-BRI,6407,177,2019-05-27,2019-10-11,284,Friday,14:35,10,137.0
LUX-BRI,6407,177,2019-05-28,2019-10-11,284,Friday,14:35,10,136.0
LUX-BRI,6407,0,2019-05-27,2019-10-13,286,Sunday,12:05,10,139.0
LUX-BRI,6407,0,2019-05-28,2019-10-13,286,Sunday,12:05,10,138.0
LUX-BRI,6407,177,2019-05-27,2019-10-13,286,Sunday,14:55,10,139.0
LUX-BRI,6407,177,2019-05-28,2019-10-13,286,Sunday,14:55,10,138.0
LUX-BRI,6407,0,2019-05-27,2019-10-15,288,Tuesday,11:45,10,141.0
LUX-BRI,6407,0,2019-05-28,2019-10-15,288,Tuesday,11:45,10,140.0
LUX-BRI,6407,0,2019-05-27,2019-10-15,288,Tuesday,14:35,10,141.0
LUX-BRI,6407,0,2019-05-28,2019-10-15,288,Tuesday,14:35,10,140.0
LUX-BRI,6407,0,2019-05-27,2019-10-18,291,Friday,11:45,10,144.0
LUX-BRI,6407,0,2019-05-28,2019-10-18,291,Friday,11:45,10,143.0
LUX-BRI,6407,0,2019-05-27,2019-10-18,291,Friday,14:35,10,144.0
LUX-BRI,6407,0,2019-05-28,2019-10-18,291,Friday,14:35,10,143.0
LUX-BRI,6407,0,2019-05-27,2019-10-20,293,Sunday,12:05,10,146.0
LUX-BRI,6407,0,2019-05-28,2019-10-20,293,Sunday,12:05,10,145.0
LUX-BRI,6407,0,2019-05-27,2019-10-20,293,Sunday,14:55,10,146.0
LUX-BRI,6407,0,2019-05-28,2019-10-20,293,Sunday,14:55,10,145.0
LUX-BRI,6407,0,2019-05-27,2019-10-22,295,Tuesday,11:45,10,148.0
LUX-BRI,6407,0,2019-05-28,2019-10-22,295,Tuesday,11:45,10,147.0
LUX-BRI,6407,0,2019-05-27,2019-10-22,295,Tuesday,14:35,10,148.0
LUX-BRI,6407,0,2019-05-28,2019-10-22,295,Tuesday,14:35,10,147.0
LUX-BRI,6407,0,2019-05-27,2019-10-25,298,Friday,11:45,10,151.0
LUX-BRI,6407,0,2019-05-28,2019-10-25,298,Friday,11:45,10,150.0
LUX-BRI,6407,0,2019-05-27,2019-10-25,298,Friday,14:35,10,151.0
LUX-BRI,6407,0,2019-05-28,2019-10-25,298,Friday,14:35,10,150.0
LUX-BRI,6407,0,2019-05-27,2019-11-01,305,Friday,16:55,11,158.0
LUX-BRI,6407,0,2019-05-28,2019-11-01,305,Friday,16:55,11,157.0
LUX-BRI,6407,10,2019-05-27,2019-11-01,305,Friday,19:45,11,158.0
LUX-BRI,6407,10,2019-05-28,2019-11-01,305,Friday,19:45,11,157.0
